"","degree.net.","betweenness.net.","round.eigen_centrality.net..vect..2."
"MIOTA",48,399.789227232443,0.9
"ZEC",46,156.82942672898,1
"NEO",44,140.891245667481,0.94
"XMR",44,140.891245667481,0.94
"BAT",40,113.44865515501,0.77
"DASH",38,51.136903629843,0.86
"ONT",38,58.3886846568795,0.85
"SC",38,132.153184914944,0.84
"AR",36,294.199969572197,0.04
"DGB",36,48.3369744495218,0.86
"VET",36,137.795784397337,0.72
"ZIL",34,142.651350425808,0.68
"LINK",34,141.344436211096,0.77
"LTC",34,148.770943595479,0.75
"BCH",34,84.1760317936977,0.72
"LUNA1",32,167.967552544277,0.03
"EOS",32,24.027738936095,0.72
"DCR",28,20.6147275644603,0.61
"TRX",28,64.3853095486299,0.56
"QTUM",28,94.295499227898,0.59
"XRP",28,270.474003118622,0.42
"BNB",28,270.474003118622,0.42
"EGLD",26,155.061277802359,0.04
"XTZ",26,177.012557688212,0.05
"BTG",26,21.0959388810055,0.54
"XLM",26,21.7882588507143,0.58
"ZEN",26,48.7279567676282,0.51
"ATOM1",24,43.2578601630535,0.03
"SUSHI",22,75.4815188332915,0
"SRM",22,196.743614761071,0.15
"ALGO",22,22.3047656778612,0.03
"ZRX",22,15.0758921857561,0.44
"BSV",22,475.157527656681,0.45
"ETH",20,312.348269384104,0.07
"HNT1",20,352.283655787549,0.07
"WAVES",20,255.898710845921,0.08
"HBAR",20,142.724747554575,0.03
"ENJ",20,103.126615627338,0
"BNT",20,4.49336182182585,0.37
"ICX",20,173.488211261338,0.23
"RVN",20,37.622805867648,0.28
"NANO",20,2.07343333366369,0.51
"ANKR",20,47.2265057404935,0
"AVAX",18,7.47999488105725,0.02
"IOST",18,171.568480794431,0.1
"OMG",18,17.5222237439979,0.02
"FIL",18,309.027094686918,0
"GRT2",18,23.9700525301767,0
"SOL1",18,103.18331611511,0.02
"BTT1",16,464.668212279389,0.04
"CHZ",16,13.8879427043663,0
"SNX",16,15.9677613598502,0
"ONE2",16,628.675260325835,0.02
"CRO",14,18.0177802873455,0
"CTC1",14,0.293589743589744,0.28
"DOT1",14,106.858607200989,0.1
"UNI3",12,195.364158561079,0.13
"CELO",12,0,0.01
"ICP1",12,7.74563216770997,0
"ADA",12,4.03740970068934,0.02
"FTM",12,192.666666666667,0
"HEX",10,8.45377051224026,0.01
"QNT",10,8.45377051224026,0.01
"WAXP",10,1.02188824247648,0.01
"FTT1",10,108.166666666667,0
"YFI",10,0,0.24
"STX1",10,0,0.17
"ETC",10,478.198614322786,0.02
"AXS",10,3.5,0
"XDC",8,0,0.01
"RUNE",8,0.266666666666667,0
"SHIB",8,26.6666666666667,0
"KSM",8,91.3836427851184,0.12
"THETA",8,2.2082764591274,0.15
"MKR",8,7.47456178477326,0.17
"DOGE",8,77.8741687074086,0.09
"KDA",8,553,0
"AAVE",6,18.9834569111031,0.01
"BTC",6,0,0.04
"SAND",6,0,0
"COMP",4,0,0.01
"OMI",4,0,0
"SKL",4,0,0
"CRV",4,0,0
"MATIC",4,333.377281364637,0
"TUSD",2,0,0
"CCXX",2,0,0
"USDT",2,0,0
"USDC",2,0,0
